-----TEST SUMMARY-----

Hash table using a CRP of Bucketing. Bucket size currently set to 6
Number of initial collisions encountered: 87
Number of items inserted: 327
Number of duplicate keys: 634
Number of subsiquent collisions: 25
Total number of collisions: 112
Size of table: 3000
SINGLE occurs 1 times.
CONSTANTS occurs 1 times.
NAME occurs 1 times.
ADDING occurs 1 times.
STRING occurs 1 times.
POSITION occurs 1 times.
BASED occurs 3 times.
NEVER occurs 1 times.
INTO occurs 3 times.
UNTIL occurs 1 times.
EFFECTIVENESS occurs 6 times.
DEAL occurs 1 times.
ASSIGNED occurs 1 times.
JOB occurs 1 times.
ADT occurs 4 times.
SEE occurs 1 times.
THAN occurs 2 times.
POINTER occurs 1 times.
INFORMATION occurs 1 times.
PROBING occurs 3 times.
PROCESS occurs 1 times.
NUMBER occurs 10 times.
WHERE occurs 1 times.
INITIAL occurs 2 times.
SEEKING occurs 1 times.
TAKE occurs 1 times.
STATISTICS occurs 1 times.
THAT occurs 6 times.
RESULTS occurs 1 times.
RESOLUTION occurs 1 times.
PARSE occurs 1 times.
BASIS occurs 1 times.
USING occurs 4 times.
CALCULATIONS occurs 1 times.
VERSION occurs 1 times.
LIST occurs 7 times.
HOPEFULLY occurs 4 times.
REQUIREMENTS occurs 1 times.
ITEM occurs 2 times.
BELOW occurs 1 times.
DESIGN occurs 1 times.
WITH occurs 9 times.
THE occurs 87 times.
WOULD occurs 2 times.
DIRECT occurs 2 times.
IMPLEMENTATION occurs 1 times.
SOMETIMES occurs 1 times.
BRACES occurs 1 times.
DIFFERENTIATE occurs 1 times.
PERIODS occurs 1 times.
SIZE occurs 3 times.
STANDARD occurs 1 times.
OUT occurs 2 times.
CALCULATE occurs 1 times.
ADTLIST occurs 4 times.
TAKING occurs 1 times.
HAVE occurs 1 times.
EVER occurs 1 times.
ELEMENTS occurs 2 times.
WHICH occurs 1 times.
STRUCT occurs 2 times.
THINGS occurs 1 times.
STRUCTURE occurs 1 times.
PRESENT occurs 1 times.
HASH occurs 21 times.
EACH occurs 4 times.
KNOW occurs 2 times.
EXAMPLE occurs 1 times.
DIGITS occurs 3 times.
ALLOW occurs 1 times.
SPECIFICATIONS occurs 1 times.
MEASURE occurs 1 times.
PLEASE occurs 2 times.
DIRECTLY occurs 1 times.
REHASHING occurs 1 times.
DECREASE occurs 1 times.
SUBSEQUENT occurs 3 times.
SAME occurs 2 times.
RUNS occurs 1 times.
ACHIEVE occurs 1 times.
ALONE occurs 1 times.
FUNCTION occurs 12 times.
ALONG occurs 3 times.
PERCENTAGE occurs 3 times.
AGAIN occurs 1 times.
BUCKETING occurs 1 times.
PUNCTUATION occurs 1 times.
PREDETERMINED occurs 1 times.
TABLE occurs 5 times.
BEGIN occurs 1 times.
ELEMENT occurs 2 times.
HANDLED occurs 1 times.
RELATED occurs 1 times.
STORING occurs 2 times.
WERE occurs 2 times.
LOCATIONS occurs 1 times.
ALLOWING occurs 1 times.
ARBITRARY occurs 1 times.
NOR occurs 2 times.
NOT occurs 3 times.
FOR occurs 8 times.
METHODS occurs 2 times.
NOW occurs 1 times.
SUPPLIED occurs 1 times.
COLLISION occurs 4 times.
EITHER occurs 1 times.
